___ up to 64MB ___ send ______
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.000644	  0.001552
         2	 0.000138	  0.014451
         4	 0.000132	  0.030280
         8	 0.000133	  0.060105
        16	 0.000132	  0.120983
        32	 0.000134	  0.239074
        64	 0.000139	  0.460266
       128	 0.000137	  0.935672
       256	 0.000143	  1.795231
       512	 0.000208	  2.465094
      1024	 0.000169	  6.046648
      2048	 0.000199	 10.294045
      4096	 0.000236	 17.352260
      8192	 0.000315	 26.018740
     16384	 0.000442	 37.046921
     32768	 0.000680	 48.177608
     65536	 0.001210	 54.164222
    131072	 0.002320	 56.507513
    262144	 0.004142	 63.295345
    524288	 0.007669	 68.363693
   1048576	 0.014832	 70.697348
   2097152	 0.029025	 72.254170
   4194304	 0.057351	 73.134503
   8388608	 0.113804	 73.710785
  16777216	 0.226764	 73.985212
  33554432	 0.452517	 74.150622
  67108864	 0.904151	 74.223075
___ up to 64MB ___ reduce ____
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.001014	  0.000986
         2	 0.000124	  0.016110
         4	 0.000121	  0.033167
         8	 0.000120	  0.066834
        16	 0.000121	  0.131796
        32	 0.000122	  0.262834
        64	 0.000121	  0.530460
       128	 0.000127	  1.005894
       256	 0.000132	  1.940129
       512	 0.000140	  3.666310
      1024	 0.000159	  6.442280
      2048	 0.000193	 10.630681
      4096	 0.000229	 17.886461
      8192	 0.000307	 26.718855
     16384	 0.000443	 37.021801
     32768	 0.000723	 45.309734
     65536	 0.001390	 47.143114
    131072	 0.002685	 48.816387
    262144	 0.005070	 51.706461
    524288	 0.009902	 52.945014
   1048576	 0.019181	 54.667146
   2097152	 0.037593	 55.785556
   4194304	 0.074142	 56.571343
   8388608	 0.149961	 55.938560
  16777216	 0.298498	 56.205418
  33554432	 0.596860	 56.218295
  67108864	 1.181597	 56.795067
___ up to 64MB __ snd _ lamd _
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.000697	  0.001434
         2	 0.000238	  0.008419
         4	 0.000239	  0.016708
         8	 0.000228	  0.035080
        16	 0.000232	  0.069010
        32	 0.000234	  0.136957
        64	 0.000232	  0.276041
       128	 0.000237	  0.539857
       256	 0.000253	  1.011059
       512	 0.000257	  1.995713
      1024	 0.000276	  3.715530
      2048	 0.000320	  6.392010
      4096	 0.000372	 11.012232
      8192	 0.000492	 16.662259
     16384	 0.001050	 15.598609
     32768	 0.001541	 21.259285
     65536	 0.002490	 26.323378
    131072	 0.004438	 29.535022
    262144	 0.008486	 30.891533
    524288	 0.016911	 31.002138
   1048576	 0.033466	 31.332623
   2097152	 0.067012	 31.295381
   4194304	 0.133118	 31.508118
   8388608	 0.267411	 31.369678
  16777216	 0.533765	 31.431822
  33554432	 1.034603	 32.432184
  67108864	 2.033027	 33.009339
___ up to 64MB __ red _ lamd _
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.000549	  0.001821
         2	 0.000222	  0.009011
         4	 0.000215	  0.018635
         8	 0.000215	  0.037235
        16	 0.000217	  0.073631
        32	 0.000215	  0.149045
        64	 0.000216	  0.296296
       128	 0.000222	  0.577226
       256	 0.000234	  1.092616
       512	 0.000242	  2.119205
      1024	 0.000268	  3.818758
      2048	 0.000319	  6.423083
      4096	 0.000375	 10.934330
      8192	 0.000522	 15.684471
     16384	 0.001071	 15.297138
     32768	 0.001645	 19.916729
     65536	 0.002742	 23.899495
    131072	 0.004920	 26.638214
    262144	 0.009643	 27.184196
    524288	 0.019497	 26.890287
   1048576	 0.038887	 26.964623
   2097152	 0.076908	 27.268427
   4194304	 0.153229	 27.372737
   8388608	 0.304668	 27.533626
  16777216	 0.609583	 27.522450
  33554432	 1.170851	 28.658162
  67108864	 2.287935	 29.331632
