___ up to 64MB ___ send ______
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.001901	  0.000526
         2	 0.000204	  0.009781
         4	 0.000200	  0.019973
         8	 0.000202	  0.039569
        16	 0.000201	  0.079740
        32	 0.000201	  0.159479
        64	 0.000211	  0.303935
       128	 0.000212	  0.604584
       256	 0.000213	  1.200516
       512	 0.000217	  2.362988
      1024	 0.000237	  4.329604
      2048	 0.000269	  7.604404
      4096	 0.000300	 13.660837
      8192	 0.000381	 21.517872
     16384	 0.000508	 32.268725
     32768	 0.000745	 43.983280
     65536	 0.001278	 51.267888
    131072	 0.002396	 54.695540
    262144	 0.004128	 63.505662
    524288	 0.007561	 69.340070
   1048576	 0.014338	 73.133057
   2097152	 0.027984	 74.940473
   4194304	 0.055210	 75.969324
   8388608	 0.109515	 76.597533
  16777216	 0.217399	 77.172521
  33554432	 0.434620	 77.204085
  67108864	 0.869499	 77.181086
___ up to 64MB ___ reduce ____
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.001369	  0.000731
         2	 0.000185	  0.010788
         4	 0.000185	  0.021665
         8	 0.000184	  0.043419
        16	 0.000183	  0.087200
        32	 0.000185	  0.173318
        64	 0.000185	  0.346637
       128	 0.000192	  0.667086
       256	 0.000197	  1.300559
       512	 0.000206	  2.490125
      1024	 0.000226	  4.526736
      2048	 0.000264	  7.758250
      4096	 0.000296	 13.819071
      8192	 0.000377	 21.713687
     16384	 0.000521	 31.464962
     32768	 0.000837	 39.169788
     65536	 0.001479	 44.323708
    131072	 0.002777	 47.190961
    262144	 0.005021	 52.206546
    524288	 0.009730	 53.882837
   1048576	 0.018666	 56.174342
   2097152	 0.036548	 57.380394
   4194304	 0.071726	 58.476885
   8388608	 0.143346	 58.519991
  16777216	 0.282462	 59.396380
  33554432	 0.571819	 58.680210
  67108864	 1.144192	 58.651744
___ up to 64MB __ snd _ lamd _
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.001953	  0.000512
         2	 0.000335	  0.005965
         4	 0.000332	  0.012053
         8	 0.000354	  0.022623
        16	 0.000352	  0.045442
        32	 0.000349	  0.091679
        64	 0.000353	  0.181179
       128	 0.000369	  0.346637
       256	 0.000363	  0.705666
       512	 0.000375	  1.364001
      1024	 0.000392	  2.613782
      2048	 0.000494	  4.145721
      4096	 0.000543	  7.540322
      8192	 0.000675	 12.132676
     16384	 0.001274	 12.859184
     32768	 0.001777	 18.437293
     65536	 0.002696	 24.306549
    131072	 0.004492	 29.177767
    262144	 0.008340	 31.431861
    524288	 0.016484	 31.806474
   1048576	 0.032477	 32.286539
   2097152	 0.065177	 32.176371
   4194304	 0.129863	 32.298015
   8388608	 0.258850	 32.407157
  16777216	 0.516759	 32.466198
  33554432	 1.014761	 33.066341
  67108864	 1.986426	 33.783726
___ up to 64MB __ red _ lamd _
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.001468	  0.000681
         2	 0.000363	  0.005507
         4	 0.000362	  0.011038
         8	 0.000361	  0.022145
        16	 0.000399	  0.040099
        32	 0.000372	  0.086037
        64	 0.000398	  0.160855
       128	 0.000372	  0.344501
       256	 0.000419	  0.611192
       512	 0.000419	  1.221271
      1024	 0.000407	  2.515796
      2048	 0.000508	  4.030562
      4096	 0.000534	  7.669584
      8192	 0.000810	 10.115326
     16384	 0.001470	 11.144181
     32768	 0.001947	 16.829809
     65536	 0.003075	 21.314974
    131072	 0.005044	 25.986794
    262144	 0.009508	 27.571608
    524288	 0.018974	 27.632030
   1048576	 0.037665	 27.839402
   2097152	 0.074752	 28.054921
   4194304	 0.148692	 28.208084
   8388608	 0.296609	 28.281730
  16777216	 0.590190	 28.426817
  33554432	 1.148930	 29.204951
  67108864	 2.242725	 29.922918
