___ up to 32MB ___ send ______
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.001658	  0.000603
         2	 0.000223	  0.008978
         4	 0.000222	  0.018048
         8	 0.000225	  0.035605
        16	 0.000224	  0.071332
        32	 0.000224	  0.143150
        64	 0.000225	  0.284842
       128	 0.000230	  0.556458
       256	 0.000231	  1.109237
       512	 0.000242	  2.116999
      1024	 0.000260	  3.936004
      2048	 0.000300	  6.821740
      4096	 0.000335	 12.215493
      8192	 0.000439	 18.641351
     16384	 0.000611	 26.810033
     32768	 0.000932	 35.161419
     65536	 0.001523	 43.024967
    131072	 0.002356	 55.643301
    262144	 0.004036	 64.958386
    524288	 0.007347	 71.356084
   1048576	 0.014019	 74.794674
   2097152	 0.027253	 76.950270
   4194304	 0.053700	 78.105847
   8388608	 0.106375	 78.859022
  16777216	 0.211847	 79.194995
  33554432	 0.424676	 79.011886
___ up to 32MB ___ reduce ____
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.001206	  0.000829
         2	 0.000207	  0.009655
         4	 0.000204	  0.019600
         8	 0.000204	  0.039199
        16	 0.000206	  0.077816
        32	 0.000204	  0.156796
        64	 0.000208	  0.307275
       128	 0.000212	  0.602414
       256	 0.000217	  1.181494
       512	 0.000227	  2.255760
      1024	 0.000245	  4.174735
      2048	 0.000301	  6.795834
      4096	 0.000334	 12.271335
      8192	 0.000435	 18.837576
     16384	 0.000664	 24.669542
     32768	 0.001154	 28.396478
     65536	 0.001729	 37.899557
    131072	 0.002955	 44.358041
    262144	 0.005269	 49.753458
    524288	 0.009968	 52.598145
   1048576	 0.019318	 54.280787
   2097152	 0.038222	 54.867492
   4194304	 0.075599	 55.481013
   8388608	 0.150774	 55.636966
  16777216	 0.300846	 55.766843
  33554432	 0.601286	 55.804416
