___ up to 32MB ___ send ______
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.001889	  0.000529
         2	 0.000207	  0.009655
         4	 0.000201	  0.019897
         8	 0.000201	  0.039719
        16	 0.000202	  0.079138
        32	 0.000203	  0.157385
        64	 0.000205	  0.312425
       128	 0.000208	  0.615678
       256	 0.000212	  1.206994
       512	 0.000219	  2.334221
      1024	 0.000256	  4.006499
      2048	 0.000271	  7.561562
      4096	 0.000300	 13.660837
      8192	 0.000379	 21.626220
     16384	 0.000507	 32.341621
     32768	 0.000735	 44.553603
     65536	 0.001273	 51.482976
    131072	 0.002390	 54.852711
    262144	 0.004144	 63.254305
    524288	 0.007539	 69.543568
   1048576	 0.014373	 72.952548
   2097152	 0.028025	 74.830307
   4194304	 0.055138	 76.069186
   8388608	 0.109531	 76.586862
  16777216	 0.217984	 76.965487
  33554432	 0.434909	 77.152687
___ up to 32MB ___ reduce ____
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.001436	  0.000696
         2	 0.000186	  0.010766
         4	 0.000184	  0.021710
         8	 0.000185	  0.043240
        16	 0.000185	  0.086659
        32	 0.000185	  0.173318
        64	 0.000187	  0.342392
       128	 0.000190	  0.672434
       256	 0.000199	  1.288078
       512	 0.000207	  2.476342
      1024	 0.000227	  4.519115
      2048	 0.000262	  7.814715
      4096	 0.000296	 13.819071
      8192	 0.000378	 21.669865
     16384	 0.000521	 31.464962
     32768	 0.000822	 39.860485
     65536	 0.001488	 44.039654
    131072	 0.002791	 46.965197
    262144	 0.005069	 51.719332
    524288	 0.009848	 53.237896
   1048576	 0.018922	 55.415581
   2097152	 0.037354	 56.142217
   4194304	 0.072894	 57.540146
   8388608	 0.145625	 57.604356
  16777216	 0.293087	 57.243199
  33554432	 0.582676	 57.586782
___ up to 32MB __ snd _ lamd _
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.002003	  0.000499
         2	 0.000367	  0.005450
         4	 0.000350	  0.011422
         8	 0.000336	  0.023804
        16	 0.000375	  0.042712
        32	 0.000362	  0.088394
        64	 0.000401	  0.159631
       128	 0.000367	  0.349162
       256	 0.000358	  0.714684
       512	 0.000390	  1.312001
      1024	 0.000387	  2.644684
      2048	 0.000463	  4.425976
      4096	 0.000544	  7.529746
      8192	 0.000714	 11.465476
     16384	 0.001262	 12.979653
     32768	 0.001676	 19.549237
     65536	 0.002558	 25.622475
    131072	 0.004410	 29.722957
    262144	 0.008180	 32.047510
    524288	 0.016461	 31.849961
   1048576	 0.032275	 32.489174
   2097152	 0.064361	 32.584108
   4194304	 0.128350	 32.678627
   8388608	 0.256095	 32.755878
  16777216	 0.511437	 32.804057
  33554432	 1.004623	 33.400010
___ up to 32MB __ red _ lamd _
    Size(B)	   Time(s)	BWdth(MB/s)
         1	 0.001497	  0.000668
         2	 0.000304	  0.006570
         4	 0.000340	  0.011782
         8	 0.000317	  0.025267
        16	 0.000366	  0.043736
        32	 0.000364	  0.087839
        64	 0.000345	  0.185384
       128	 0.000355	  0.360413
       256	 0.000379	  0.675819
       512	 0.000379	  1.351639
      1024	 0.000434	  2.356764
      2048	 0.000460	  4.451666
      4096	 0.000544	  7.529746
      8192	 0.000764	 10.721336
     16384	 0.001358	 12.061127
     32768	 0.001952	 16.790333
     65536	 0.002989	 21.927083
    131072	 0.005125	 25.576700
    262144	 0.009522	 27.530739
    524288	 0.018843	 27.823340
   1048576	 0.037450	 27.999053
   2097152	 0.074376	 28.196510
   4194304	 0.147614	 28.414017
   8388608	 0.294575	 28.477011
  16777216	 0.591301	 28.373377
  33554432	 1.141660	 29.390927
